Kommun,Kommunalskatt 2025
0114,31.8
0115,31.28
0117,28.98
0120,31.36
0123,31.62
0125,31.6
0126,31.85
0127,32.43
0128,32.05
0136,31.83
0138,31.88
0139,31.78
0140,32.35
0160,29.93
0162,30.63
0163,30.5
0180,30.6
0181,32.53
0182,30.26
0183,31.63
0184,29.75
0186,29.72
0187,31.68
0188,32.1
0191,32.08
0192,32.23
0305,33.3
0319,34.4
0330,32.62
0331,34.21
0360,33.0
0380,32.85
0381,33.05
0382,33.35
0428,33.5
0461,32.95
0480,32.25
0481,33.05
0482,33.1
0483,32.95
0484,32.85
0486,32.5
0488,32.13
0509,33.95
0512,34.1
0513,33.0
0560,33.37
0561,33.94
0562,33.7
0563,34.03
0580,31.75
0581,33.3
0582,33.53
0583,33.25
0584,34.35
0586,33.45
0604,33.85
0617,34.0
0642,34.1
0643,33.93
0662,33.75
0665,33.25
0680,33.4
0682,34.3
0683,33.28
0684,33.68
0685,33.77
0686,34.02
0687,33.77
0760,33.8
0761,33.81
0763,34.0
0764,33.42
0765,33.86
0767,33.31
0780,32.19
0781,33.07
0821,34.07
0834,33.79
0840,34.07
0860,33.77
0861,34.07
0862,33.82
0880,33.67
0881,34.19
0882,34.21
0883,33.02
0884,34.22
0885,33.44
0980,33.6
1060,33.75
1080,33.69
1081,33.68
1082,34.1
1083,33.86
1214,31.92
1230,30.27
1231,31.27
1233,29.68
1256,32.17
1257,30.24
1260,32.17
1261,29.69
1262,30.82
1263,31.42
1264,31.6
1265,32.1
1266,32.26
1267,32.93
1270,31.79
1272,33.74
1273,33.99
1275,31.99
1276,31.93
1277,31.47
1278,31.41
1280,32.42
1281,32.42
1282,31.42
1283,31.39
1284,30.91
1285,31.72
1286,31.29
1287,31.58
1290,32.64
1291,31.69
1292,31.47
1293,32.38
1315,33.85
1380,32.38
1381,32.8
1382,32.5
1383,31.73
1384,32.73
1401,31.98
1402,31.39
1407,33.04
1415,33.12
1419,33.19
1421,33.79
1427,33.47
1430,34.86
1435,33.04
1438,34.69
1439,34.39
1440,32.85
1441,32.13
1442,33.09
1443,33.07
1444,33.47
1445,33.05
1446,32.8
1447,33.97
1452,32.98
1460,34.4
1461,34.08
1462,33.85
1463,32.99
1465,33.53
1466,33.42
1470,33.25
1471,33.6
1472,33.19
1473,33.2
1480,32.6
1481,31.99
1482,32.92
1484,33.94
1485,33.64
1486,33.39
1487,33.69
1488,33.84
1489,32.84
1490,32.79
1491,32.53
1492,33.94
1493,32.74
1494,32.74
1495,33.38
1496,33.09
1497,33.48
1498,33.55
1499,33.43
1715,34.63
1730,34.55
1737,34.3
1760,34.98
1761,35.2
1762,34.3
1763,34.63
1764,34.78
1765,34.25
1766,33.9
1780,33.55
1781,34.25
1782,34.55
1783,34.3
1784,34.03
1785,33.8
1814,34.73
1860,35.0
1861,33.85
1862,35.3
1863,34.35
1864,33.8
1880,33.65
1881,33.84
1882,34.15
1883,34.3
1884,34.55
1885,34.6
1904,33.34
1907,33.19
1960,32.91
1961,32.69
1962,33.54
1980,31.24
1981,33.19
1982,32.99
1983,33.04
1984,33.29
2021,34.28
2023,34.55
2026,34.27
2029,33.8
2031,33.8
2034,34.3
2039,34.77
2061,34.44
2062,34.32
2080,34.05
2081,34.4
2082,34.3
2083,34.15
2084,33.95
2085,34.05
2101,34.27
2104,34.37
2121,33.37
2132,34.02
2161,33.87
2180,33.77
2181,33.12
2182,33.17
2183,33.37
2184,33.12
2260,34.62
2262,34.48
2280,34.63
2281,33.88
2282,34.43
2283,34.68
2284,34.0
2303,34.92
2305,35.09
2309,33.87
2313,34.92
2321,33.92
2326,34.22
2361,34.17
2380,33.72
2401,34.6
2403,34.5
2404,34.7
2409,34.5
2417,34.7
2418,34.7
2421,34.45
2422,34.95
2425,35.15
2460,34.7
2462,35.0
2463,34.95
2480,34.15
2481,34.4
2482,33.95
2505,34.14
2506,34.84
2510,34.29
2513,34.14
2514,33.89
2518,33.84
2521,34.74
2523,33.89
2560,33.79
2580,33.84
2581,33.59
2582,33.94
2583,33.84
2584,34.39
